id,title,institution,source_type,date_start,date_end,date_text,url,coverage,priority,verification_status,verified_at,notes,archive_number,relic_number,material_number,period_text,source_citation,detail_metadata_path,detail_retrieved_at
src-0001,도성대지도,서울역사박물관,map,1753,1764,기관별 연대 해석 차이,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY780&fileId=026d2d85-e2f5-4673-bf8d-5a9ed6163bee&fileSn=1098&type=C&upperNodeId=CTGRY780,한양 도성,P0,unverified,,원문 기재 연대; 원사료 재확인 필요,srd-415196,서14165,,18세기,"『소장유물자료집13 - 한양 명품선』, 서울역사박물관, 2022",data/maps/src-0001/detail-2026-09-08.json,2026-09-08
src-0002,도성대지도 부분도 8,서울역사박물관,map,,,,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY780&fileId=fe073a1b-2a35-41c6-98da-3c21d7a4ba20&fileSn=1100&type=C&upperNodeId=CTGRY780,운종가·청계천,P0,unverified,,부분도 전체 중 조사 시작 후보; 전체 도엽 목록은 미등록; 상세 페이지 식별자·설명·권리 및 파일 취득 확인; 정확한 제작연대와 전체 도엽 목록은 미검증,srd-415256,서14165,,18세기,"『소장유물자료집13 - 한양 명품선』, 서울역사박물관, 2022 외",data/maps/src-0002/detail-2026-09-08.json,2026-09-08
src-0003,1908 한성부지적도,서울역사박물관,cadastral,1908,1908,,https://museum.seoul.go.kr/cgcm/board/NR_boardView.do?bbsCd=1012&seq=20150316095605491,한성부; 도엽별 범위 미확인,P0,verified,2026-09-08,"공식 개별 도엽 목록 29건 확인; 1908_sheet_index.csv 참조. 2015 영인 도록은 src-0008, 취득한 개별 도엽은 src-0009~0011. 모든 도엽의 정확한 coverage는 미확정.",,,,,,,
src-0004,1912 경성부 지적원도,국가기록원,cadastral,1912,1912,,https://theme.archives.go.kr/next/acreage/,경성부; 파일럿 도엽 미선정,P0,unverified,,자료군 후보; 수집 시 개별 도엽 ID 추가; 종로2정목외16정 자료군 22철의 건 목록 확인; 개별 취득 src-0012~0014. 경성부 전체 범위는 미검증.,,,,,,,
src-0005,광화문외제관아실측평면도,국가기록원,plan,1907,1909,추정 제작연대,https://theme.archives.go.kr/next/place/observatory.do?flag=02,광화문 앞 관아,P0,unverified,,해제 페이지; 원본 파일 미확보,,,,,,,
src-0006,북궐도형,원소장처 미확인,plan,1907,1907,원문 S-MAP 소개 기준,https://smap.seoul.go.kr/,경복궁,P0,unverified,,선행 서비스 탐색 링크; 원사료 소장처와 연대 재확인 필요,,,,,,,
src-0007,동궐도형,원소장처 미확인,plan,1907,,1907년 이후; 원문 소개 기준,https://dh.aks.ac.kr/hanyang2/wiki/index.php/%EB%8F%99%EA%B6%90%EB%8F%84%ED%98%95,창덕궁·창경궁,P0,unverified,,2차 설명 링크; 원사료 공개처 확인 필요,,,,,,,
src-0008,1908 한성부지적도 (2015 영인 도록),서울역사박물관,text,2015,2015,2015.02 발행; 수록 지적도는 1908년,https://museum.seoul.go.kr/www/board/NR_boardView.do?bbsCd=1012&seq=20150316095605491&sso=ok,1908 지적도 잔존 29매의 영인 및 해설,P0,verified,2026-09-08,src-0003 자료군의 영인 도록. 도록 발행연도와 원도 측량연도를 구분. PDF 208쪽; PDF 권한 print:yes copy:no change:no addNotes:no. 개별 재이용 조건 미확인.,,,,,,data/cadastral/src-0008/detail-2026-09-08.json,2026-09-08
src-0009,한성부 서서 여경방도 사매지내 제1호,서울역사박물관,cadastral,1908,1908,,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93719-790,무교동·태평로1가; 청계천 남안,P0,verified,2026-09-08,src-0003 자료군의 개별 도엽; src-0008 도록에도 수록. 기관 상세 메타데이터 확인; coverage는 설명 수준이며 정합 경계 미확정.,H-TRNS-93719-790,,,1908,"『1908 한성부지적도』(2015), 58-63쪽",data/cadastral/src-0009/detail-2026-09-08.json,2026-09-08
src-0010,한성부 중서 관인방도 사매지내 제1호,서울역사박물관,cadastral,1908,1908,,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93711-790,인사동·낙원동; 탑골공원 주변,P0,verified,2026-09-08,src-0003 자료군의 개별 도엽; src-0008 도록에도 수록. 기관 상세 메타데이터 확인; coverage는 설명 수준이며 정합 경계 미확정.,H-TRNS-93711-790,,,1908,"『1908 한성부지적도』(2015), 10-15쪽",data/cadastral/src-0010/detail-2026-09-08.json,2026-09-08
src-0011,한성부 서서 적선방도 육매지내 제6호,서울역사박물관,cadastral,1908,1908,,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93726-790,도렴동·당주동; 광화문 서쪽,P0,verified,2026-09-08,src-0003 자료군의 개별 도엽; src-0008 도록에도 수록. 기관 상세 메타데이터 확인; coverage는 설명 수준이며 정합 경계 미확정.,H-TRNS-93726-790,,,1908,"『1908 한성부지적도』(2015), 100-105쪽",data/cadastral/src-0011/detail-2026-09-08.json,2026-09-08
src-0012,1912 경성부 지적원도 — 관철동 0001,국가기록원,cadastral,1912,1912,,https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508321&docid=0014177167&mngno=BJCA000149&want=0&formType=oldName&rtURL=,관철동 및 인접 지역; 도면 정합 미실시,P0,verified,2026-09-08,"src-0004 자료군의 개별 건. 생산기관 조선총독부 임시토지조사국; 부산기록관; 공개가능. archive_number는 docid/archiveEventId, material_number는 mngno. 제목의 0001은 도엽 번호가 아님.",0014177167,,BJCA000149,1912년 (철 메타데이터),"경기도 경성부 중부 종로2정목외16정-008[관철동,인사동,관훈동,낙원동,경운동,운니동] - 관철동 0001",data/cadastral/src-0012/detail-2026-09-08.json,2026-09-08
src-0013,1912 경성부 지적원도 — 인사동 0001,국가기록원,cadastral,1912,1912,,https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508313&docid=0049403247&mngno=BJCA000153&want=0&formType=oldName&rtURL=,인사동 및 인접 지역; 도면 정합 미실시,P0,verified,2026-09-08,"src-0004 자료군의 개별 건. 생산기관 조선총독부 임시토지조사국; 부산기록관; 공개가능. archive_number는 docid/archiveEventId, material_number는 mngno. 제목의 0001은 도엽 번호가 아님.",0049403247,,BJCA000153,1912년 (철 메타데이터),"경기도 경성부 중부 종로2정목외16정-012[관철동,인사동,관훈동,낙원동,경운동,운니동] - 인사동 0001",data/cadastral/src-0013/detail-2026-09-08.json,2026-09-08
src-0014,1912 경성부 지적원도 — 낙원동 0001,국가기록원,cadastral,1912,1912,,https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508318&docid=0050576775&mngno=BJCA000146&want=0&formType=oldName&rtURL=,낙원동 및 인접 지역; 도면 정합 미실시,P0,verified,2026-09-08,"src-0004 자료군의 개별 건. 생산기관 조선총독부 임시토지조사국; 부산기록관; 공개가능. archive_number는 docid/archiveEventId, material_number는 mngno. 제목의 0001은 도엽 번호가 아님.",0050576775,,BJCA000146,1912년 (철 메타데이터),"경기도 경성부 중부 종로2정목외16정-005[관철동,인사동,관훈동,낙원동,경운동,운니동] - 낙원동 0001",data/cadastral/src-0014/detail-2026-09-08.json,2026-09-08
src-0015,1912 경성부 지적원도 — 경운동 0046,국가기록원,cadastral,1912,1912,,https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508319&docid=0014177165&mngno=BJCA000147&want=0&formType=oldName&rtURL=,경운동 및 인접 지역; 정합 미실시,P0,verified,2026-09-08,src-0004 자료군. 지도 우측 도제의 第六號 육안 확인. 건제목 숫자는 도엽 번호와 별개. 기관 메타데이터 확인이며 대응점 검증 미완료.,0014177165,,BJCA000147,1912년 (철 메타데이터),"경기도 경성부 중부 종로2정목외16정-006[관철동,인사동,관훈동,낙원동,경운동,운니동] - 경운동 0046",data/cadastral/src-0015/detail-2026-09-08.json,2026-09-08
src-0016,1912 경성부 지적원도 — 인사동 0084,국가기록원,cadastral,1912,1912,,https://theme.archives.go.kr/next/acreage/viewCadastreDetail.do?typesub=Y&type=12&packid=0000508314&docid=0014177172&mngno=BJCA000154&want=0&formType=oldName&rtURL=,인사동 및 인접 지역; 정합 미실시,P0,verified,2026-09-08,src-0004 자료군. 지도 우측 도제의 第十三號 육안 확인. 건제목 숫자는 도엽 번호와 별개. 기관 메타데이터 확인이며 대응점 검증 미완료.,0014177172,,BJCA000154,1912년 (철 메타데이터),"경기도 경성부 중부 종로2정목외16정-013[관철동,인사동,관훈동,낙원동,경운동,운니동] - 인사동 0084",data/cadastral/src-0016/detail-2026-09-08.json,2026-09-08
src-0017,한성부 중서 경행방도 오매지내 제3호,서울역사박물관,cadastral,1908,1908,,https://museum.seoul.go.kr/archive/archiveNew/NR_archiveView.do?ctgryId=CTGRY790&fileSn=300&type=C&upperNodeId=CTGRY790&fileId=H-TRNS-93712-790,"교동; 아카이브 설명은 경운동·낙원동, 도록 표는 관훈동 일대",P0,verified,2026-09-08,src-0003 개별 도엽; src-0008 도록 16–21쪽. 기관 상세와 도록의 현대 위치 설명 차이 보존. src-0010 관인방도와 공통 방 경계 굴곡을 육안 확인. 지리 CRS 미확정.,H-TRNS-93712-790,,,1908,"『1908 한성부지적도』(2015), 16-21쪽",data/cadastral/src-0017/detail-2026-09-08.json,2026-09-08
