category,production_year,source_id,label,filename,glb_url,source_page,historical_period,production_method,download_status,asset_license
복식,2022,공주의_면사,공주의 면사,3D-공주의_면사.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-공주의_면사.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,청의-생원진사_방방복식,청의-생원진사 방방복식,3D-청의-생원진사_방방복식.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-청의-생원진사_방방복식.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,17세기_단령-백한흉배,17세기 단령-백한흉배,3D-17세기_단령-백한흉배.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-17세기_단령-백한흉배.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,18세기_왕의_곤룡포,18세기 왕의 곤룡포,3D-18세기_왕의_곤룡포.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-18세기_왕의_곤룡포.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,18세기_왕세자_곤룡포,18세기 왕세자 곤룡포,3D-18세기_왕세자_곤룡포.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-18세기_왕세자_곤룡포.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,원자_곤룡포,원자 곤룡포,3D-원자_곤룡포.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-원자_곤룡포.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,18세기_단령-백한흉배,18세기 단령-백한흉배,3D-18세기_단령-백한흉배.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-18세기_단령-백한흉배.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,18세기_단령-운학흉배,18세기 단령-운학흉배,3D-18세기_단령-운학흉배.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-18세기_단령-운학흉배.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,난삼,난삼,3D-난삼.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-난삼.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,심의,심의,3D-심의.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-심의.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,심의대,심의대,3D-심의대.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-심의대.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,방령심의,방령심의,3D-방령심의.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-방령심의.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,16세기_노의,16세기 노의,3D-16세기_노의.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-16세기_노의.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,17세기_왕비의_노의,17세기 왕비의 노의,3D-17세기_왕비의_노의.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-17세기_왕비의_노의.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,18세기_원삼,18세기 원삼,3D-18세기_원삼.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-18세기_원삼.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
복식,2022,18세기_옹주의_원삼,18세기 옹주의 원삼,3D-18세기_옹주의_원삼.glb,https://dh.aks.ac.kr/hanyang2/glb/2022/복식/3D-18세기_옹주의_원삼.glb,https://dh.aks.ac.kr/hanyang2/wiki/index.php/2022_3D%EB%AA%A8%EB%8D%B8%EB%A7%81-%EB%B3%B5%EC%8B%9D,미검토,미검토,목록만 확보,개별 파일 조건 미확인
